Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
23653,"The Hobbit, or, There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.",Alan  Lee,026110330X,9780261103306,4,4.27,Houghton Mifflin Company,Hardcover,289,1997,1937,2012/01/11,2009/06/19,"fantasy-scifi, childrens-and-ya-lit","fantasy-scifi (#7), childrens-and-ya-lit (#36)",read,,,,1,,,0,,,,,
3418598,"Kinderen van Moeder Aarde (De Toekomsttrilogie, #1)",Thea Beckman,"Beckman, Thea",,9060696123,9789060696125,4,4.21,Lemniscaat,Hardcover,347,1985,1985,2011/06/26,2009/06/19,"distopian, my-childhood, childrens-and-ya-lit, before-goodreads","distopian (#10), my-childhood (#1), childrens-and-ya-lit (#32), before-goodreads (#124)",read,,,,1,,,0,,,,,
19501,"Eat, Pray, Love",Elizabeth Gilbert,"Gilbert, Elizabeth",,0143038419,9780143038412,5,3.55,Riverhead Books,Paperback,368,2007,2006,2009/06/20,2009/06/19,"fernweh, made-me-think, books-i-own, favorites, non-fiction","fernweh (#4), made-me-think (#8), books-i-own (#44), favorites (#28), non-fiction (#99)",read,,,,2,,,0,,,,,
38447,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,,,4,4.10,Anchor Books,Paperback,311,1998,1985,2017/06/29,2009/06/19,"literature, before-goodreads, distopian, difficult-or-heavy, feminism, made-me-think","literature (#9), before-goodreads (#27), distopian (#3), difficult-or-heavy (#18), feminism (#6), made-me-think (#37)",read,,,,2,,,0,,,,,
9807105,Pride and Prejudice,Jane Austen,"Austen, Jane",Ian Littlewood,,,3,4.26,Wordsworth Editions,Paperback,325,2007,1813,2012/08/27,2009/06/19,literature,literature (#71),read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,,,5,3.91,Scribner,Paperback,200,2004,1925,2013/05/22,2009/06/19,"literature, beautiful-prose","literature (#12), beautiful-prose (#1)",read,,,,1,,,0,,,,,
315425,In Defense of Food: An Eater's Manifesto,Michael Pollan,"Pollan, Michael",,1594201455,9781594201455,4,4.08,Penguin Press,Hardcover,205,2008,2008,2009/06/20,2009/06/19,"ebooks-i-own, food, non-fiction, made-me-think","ebooks-i-own (#1), food (#3), non-fiction (#3), made-me-think (#20)",read,"I think everyone should read this book, because it makes you <b>change the way you think about food</b>, one of the most basic (and important!) things in life. Food, and also knowledge of food, is underrated.<br/><br/>The book gives a pretty good summary of the development of the (not necessarily evil) foodindustry, and also explains <b>why we think about food the way we do</b>. In the last part of the book, [a:Michael Pollan|2121|Michael Pollan|http://photo.goodreads.com/authors/1258275549p2/2121.jpg] gives quite a few guidelines to improve how and what you eat.<br/><br/>The writer (who is not a foodexpert, but a philosopher and a journalist and also clearly someone with a good deal of common sense) puts all the information in the propper historical context, and the list of sources in the back of the book is impressive. <br/><br/><i>Always eat at a table.</i> No, a desk is not a table. <br/><br/>And now, for [b:The Omnivore's Dilemma|3109|The Omnivore's Dilemma  A Natural History of Four Meals|Michael Pollan|http://photo.goodreads.com/books/1309200117s/3109.jpg|3287769]. :)",,,1,,,0,,,,,
7069,The World According to Garp,John Irving,"Irving, John",,0345915593,9780345915597,0,4.08,Ballantine Books,Hardcover,610,1999,1978,,2009/06/19,to-read,to-read (#682),to-read,,,,0,,,0,,,,,
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,0571224385,9780571224388,0,4.10,Harper Perennial,Paperback,320,2009,1984,,2009/06/20,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
17245,Dracula,Bram Stoker,"Stoker, Bram","Nina Auerbach, David J. Skal",0393970124,9780393970128,3,3.99,Norton,Paperback,488,1986,1897,,2010/06/25,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
8852,Macbeth,William Shakespeare,"Shakespeare, William",,0743477103,9780743477109,0,3.89,Simon  Schuster,Paperback,304,2013,1606,,2010/06/25,"literature, before-goodreads","literature (#34), before-goodreads (#75)",read,,,,1,,,0,,,,,
5759,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,0393327345,9780393327342,4,4.19,W.W. Norton & Company (NYC),Paperback,218,2005,1996,2011/05/05,2011/05/05,"literature, made-me-think","literature (#26), made-me-think (#6)",read,,,,1,,,0,,,,,
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,,,0,4.19,Signet,Mass Market Paperback,325,1963,1962,,2011/09/26,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",David McDuff,0143058142,9780143058144,0,4.21,Penguin,Paperback,671,2002,1866,,2011/09/26,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
16902,Walden,Henry David Thoreau,"Thoreau, Henry David",,0691096120,9780691096124,0,3.79,Princeton University Press,Paperback,352,2004,1854,,2011/11/23,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
321482,Onder professoren,Willem Frederik Hermans,"Hermans, Willem Frederik",,902340520X,9789023405207,0,3.69,De Bezige Bij,Paperback,425,1975,1975,,2012/04/28,"classics-challenge, science-novels, abandoned","classics-challenge (#15), science-novels (#5), abandoned (#35)",abandoned,"Halverwege opgegeven omdat het te cynisch en vervelend was, en verouderd bovendien. Er is niemand waarmee ik me kan identificeren in dit boek. Geeft wss een waarheidsgetrouw beeld van de vieze politiek van de academische wereld, maar als PhD student wil ik me op dit moment niet wagen aan dit soort deprimerende beschrijvingen.",,,1,,,0,,,,,
